date,location,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,positive_rate,population
2020-03-13,Ghana,2.0,2.0,0.0,0.0,,,,31072945.0
2020-03-15,Ghana,0.0,2.0,0.0,0.0,,,,31072945.0
2020-03-16,Ghana,0.0,2.0,0.0,0.0,,,,31072945.0
2020-03-17,Ghana,4.0,6.0,0.0,0.0,,143.0,,31072945.0
2020-03-18,Ghana,0.0,6.0,0.0,0.0,,,,31072945.0
2020-03-19,Ghana,1.0,7.0,0.0,0.0,,,,31072945.0
2020-03-20,Ghana,4.0,11.0,0.0,0.0,,,,31072945.0
2020-03-21,Ghana,5.0,16.0,0.0,0.0,,,,31072945.0
2020-03-22,Ghana,5.0,21.0,1.0,1.0,,315.0,,31072945.0
2020-03-23,Ghana,3.0,24.0,0.0,1.0,206.0,521.0,,31072945.0
2020-03-24,Ghana,3.0,27.0,1.0,2.0,,,0.027,31072945.0
2020-03-25,Ghana,26.0,53.0,0.0,2.0,,,0.0409999999999999,31072945.0
2020-03-26,Ghana,15.0,68.0,1.0,3.0,,,0.0409999999999999,31072945.0
2020-03-27,Ghana,64.0,132.0,0.0,3.0,,,0.064,31072945.0
2020-03-28,Ghana,5.0,137.0,0.0,3.0,,2519.0,0.054,31072945.0
2020-03-29,Ghana,4.0,141.0,2.0,5.0,,,0.037,31072945.0
2020-03-30,Ghana,11.0,152.0,0.0,5.0,,,0.032,31072945.0
2020-03-31,Ghana,0.0,152.0,0.0,5.0,,,0.027,31072945.0
2020-04-01,Ghana,0.0,152.0,0.0,5.0,,,0.019,31072945.0
2020-04-02,Ghana,43.0,195.0,0.0,5.0,,,0.022,31072945.0
2020-04-03,Ghana,9.0,204.0,0.0,5.0,,,0.011,31072945.0
2020-04-04,Ghana,1.0,205.0,0.0,5.0,,,0.01,31072945.0
2020-04-05,Ghana,9.0,214.0,0.0,5.0,,,0.01,31072945.0
2020-04-06,Ghana,0.0,214.0,0.0,5.0,,,0.009,31072945.0
2020-04-07,Ghana,73.0,287.0,0.0,5.0,,,0.019,31072945.0
2020-04-08,Ghana,0.0,287.0,0.0,5.0,,,0.019,31072945.0
2020-04-09,Ghana,26.0,313.0,1.0,6.0,,14611.0,0.017,31072945.0
2020-04-10,Ghana,65.0,378.0,0.0,6.0,12735.0,27346.0,0.009,31072945.0
2020-04-11,Ghana,0.0,378.0,0.0,6.0,10608.0,37954.0,0.006,31072945.0
2020-04-12,Ghana,30.0,408.0,2.0,8.0,,,0.006,31072945.0
2020-04-13,Ghana,158.0,566.0,0.0,8.0,,,0.01,31072945.0
2020-04-14,Ghana,0.0,566.0,0.0,8.0,,50719.0,0.0069999999999999,31072945.0
2020-04-15,Ghana,70.0,636.0,0.0,8.0,6281.0,57000.0,0.008,31072945.0
